Enemy,Initial_Diversity,Simulation,Generation,Fitness_Avg,Fitness_Std,Fitness_Max,Gain_Avg,Gain_Std,Gain_Max
1,0,0,0,-5.730099782973573,8.881784197001252e-16,-5.730099782973574,-100.0,0.0,-100.0
1,0,0,1,-4.646094868852352,4.9738778792615115,21.269900217026425,-98.8,5.5281099844341055,-70.0
1,0,0,2,0.650159050049533,12.058587099114066,39.013547994715566,-92.9,13.438377878300635,-50.0
1,0,0,3,12.248165130339176,14.33583701378852,39.10559716573515,-80.0,16.0,-50.0
1,0,0,4,25.354327941432416,8.390841863817803,39.59282822853988,-65.4,9.425497334358537,-50.0
1,0,0,5,31.596516683085145,9.993373484353999,75.26990021702643,-58.4,11.200000000000001,-10.0
1,0,0,6,37.031177418062995,9.549307601448838,75.26990021702643,-52.3,10.663489110042738,-10.0
1,0,0,7,40.95559599687641,6.428454990834936,75.26990021702643,-47.9,7.112664760833302,-10.0
1,0,0,8,42.14416330386544,8.412798545472118,75.26990021702643,-46.6,9.29731143933557,-10.0
1,0,0,9,42.70546446811272,7.991914152508469,75.26990021702643,-46.0,8.831760866327848,-10.0
1,0,0,10,42.166350860315895,6.756005797535503,75.26990021702643,-46.6,7.512655988397205,-10.0
1,0,0,11,42.467660483831715,7.011795771332635,75.26990021702643,-46.3,7.830070242341356,-10.0
1,0,0,12,42.92714309245532,7.1820804560703735,75.26990021702643,-45.8,8.022468448052651,-10.0
1,0,0,13,43.46609686587229,7.200399262927407,66.17991706964764,-45.2,8.059776671843952,-20.0
1,0,0,14,43.8499813745871,7.655018663174437,66.17991706964764,-44.8,8.541662601625045,-20.0
1,0,0,15,45.09922247210985,8.33616663228381,66.26990021702643,-43.4,9.297311439335582,-20.0
1,0,0,16,48.00530391150479,10.275544735856881,85.22873816020955,-40.08,11.87575681798849,12.0
1,0,0,17,49.33867186119309,9.480172807958684,75.26990021702643,-38.7,10.550355444249263,-10.0
1,0,0,18,49.10415024560331,10.190618687367829,75.26990021702643,-38.4,9.871170143402466,-10.0
1,0,0,19,51.621761506773446,11.05135702998156,94.78506424239102,-34.7,16.64061296947922,100.0
1,0,0,20,52.934497082050946,9.882149287398253,94.85250552318655,-32.0,24.331050121192877,100.0
1,0,0,21,53.45034834954433,8.92863279569317,94.85250552318655,-32.3,20.29063823540307,100.0
1,0,0,22,52.8931679245128,8.127754809736318,94.85250552318655,-33.8,15.477725931156641,100.0
1,0,0,23,54.174683273422694,9.150093798943129,94.85250552318655,-31.6,19.73423421367036,100.0
1,0,0,24,54.533060607307085,9.460656472058748,93.74250462797222,-31.3,19.269405802982114,90.0
1,0,0,25,54.36143308394623,8.067867954883013,93.74250462797222,-32.3,14.550257729676154,90.0
1,0,0,26,56.54411558814486,8.709737480398498,94.85250552318655,-29.8,15.683111936092304,100.0
1,0,0,27,58.37190019146967,9.245451903811203,94.85250552318655,-26.9,20.034719863277363,100.0
1,0,0,28,60.07687014129805,9.53746787522235,94.78506424239102,-24.94,20.108615069168742,100.0
1,0,0,29,62.72374445276782,9.437735015454123,94.91859563501554,-20.18,25.77765699205414,100.0
1,0,0,30,65.84202100051328,9.45097821013887,94.91859563501554,-14.26,31.47145373191395,100.0
1,0,0,31,67.28090206553736,7.909394750561545,94.91859563501554,-13.62,28.547076908152974,100.0
1,0,0,32,68.57262738056902,6.145627833133269,94.88200618758324,-13.9,23.490210727024124,100.0
1,0,0,33,68.5886433179584,6.5889930723946515,94.88200618758324,-13.0,26.095976701399778,100.0
1,0,0,34,68.39324244417686,6.076117383801663,94.78506424239102,-14.1,23.49872336957899,100.0
1,0,0,35,68.01854821125868,5.431633126588313,94.85833644349734,-15.4,20.514385196734594,100.0
1,0,0,36,68.01496117314834,5.424743865611806,94.85250552318655,-15.4,20.514385196734594,100.0
1,0,0,37,69.06987201993796,7.5157965563374685,94.88200618758324,-10.7,30.504261997301377,100.0
1,0,0,38,68.21332975619246,6.006350670244653,94.85250552318655,-14.3,23.505531263938664,100.0
1,0,0,39,68.16748623976612,4.369941883978013,94.78506424239102,-17.0,12.36931687685298,100.0
1,0,0,40,68.54427322977791,5.150859161710382,94.9001335721758,-15.7,16.985582121316938,100.0
1,0,0,41,70.252622949819,5.578916321221703,94.78506424239102,-13.8,16.957594168985135,100.0
1,0,0,42,71.81258802158402,6.4366371167745315,94.85250552318655,-10.3,23.041484327186836,100.0
1,0,0,43,75.49539361038491,7.271333057032864,94.85250552318655,-1.06,33.397550808405036,100.0
1,0,0,44,77.60140529262603,6.314969537066907,94.85250552318655,3.06,35.38525681692864,100.0
1,0,0,45,78.37454349859766,7.115727938254223,94.91859563501554,7.36,39.808421219636486,100.0
1,0,0,46,80.08999693933748,8.352549398476063,94.91859563501554,16.88,46.61872585131432,100.0
1,0,0,47,79.71324027766977,8.133360022367738,94.91859563501554,14.8,45.42862533689531,100.0
1,0,0,48,83.80896972235394,9.63702343687009,94.91859563501554,37.78,53.95842473608731,100.0
1,0,0,49,86.94566589740887,9.536362288773374,95.02326625757942,55.46,53.49456420983351,100.0
1,0,0,50,88.461350807641,9.054544274630983,94.98936470590374,63.86,50.74820587961707,100.0
1,0,0,51,92.93244197730348,5.565763069681949,94.98936470590374,88.9,31.27091300234133,100.0
1,0,0,52,94.61539873381021,0.41063716246975623,94.98936470590374,98.1,3.7775653535048206,100.0
1,0,0,53,94.78589107319598,0.10344501891162292,94.98936470590374,99.7,0.7141428428542848,100.0
1,0,0,54,94.817724037201,0.06871611490078232,94.98272016318508,99.92,0.39191835884530846,100.0
1,0,0,55,94.84050766509311,0.043488416270864916,94.92482618476618,100.0,0.0,100.0
1,0,0,56,94.86941995745897,0.04008695290391613,94.98936470590374,100.0,0.0,100.0
1,0,0,57,94.88134655265173,0.03640924791620569,94.98936470590374,100.0,0.0,100.0
1,0,0,58,94.8850699679509,0.03833905376539337,94.98936470590374,100.0,0.0,100.0
1,0,0,59,94.88879164087571,0.042686626178702156,95.02326625757942,100.0,0.0,100.0
1,0,0,60,94.88918279863084,0.041941733742111416,94.98936470590374,100.0,0.0,100.0
1,0,0,61,94.8955321299744,0.043423482887827124,95.01639337829167,100.0,0.0,100.0
1,0,0,62,94.90512519116186,0.04934313086028788,95.01639337829167,100.0,0.0,100.0
1,0,0,63,94.90920312489521,0.05347376168413749,95.01639337829167,100.0,0.0,100.0
1,0,0,64,94.91615843288018,0.04959043796422595,95.01639337829167,100.0,0.0,100.0
1,0,0,65,94.9208827091652,0.04302267085592211,95.01639337829167,100.0,0.0,100.0
1,0,0,66,94.92591342049666,0.032642159221758844,95.01639337829167,100.0,0.0,100.0
1,0,0,67,94.9242208680902,0.020605122419392816,95.01639337829167,100.0,0.0,100.0
1,0,0,68,94.92234662960048,0.017094993083130946,95.01639337829167,100.0,0.0,100.0
1,0,0,69,94.92130634667022,0.014245301253839422,95.01639337829167,100.0,0.0,100.0
1,0,0,70,94.9207180289228,0.012038191043125705,95.01639337829167,100.0,0.0,100.0
1,0,1,0,-5.730099782973573,8.881784197001252e-16,-5.730099782973574,-100.0,0.0,-100.0
1,0,1,1,-4.822309262447736,5.296572590815668,39.013547994715566,-99.0,5.916079783099616,-50.0
1,0,1,2,-2.6572600523272336,9.496280792239123,48.013547994715566,-96.6,10.603772913449227,-40.0
1,0,1,3,4.359769955310017,15.521727189815614,48.08110614572686,-88.8,17.336666346215434,-40.0
1,0,1,4,14.502526856970064,16.87084386550975,48.08110614572686,-77.5,18.887826767524103,-40.0
1,0,1,5,30.59977592195407,9.854285693930676,57.01858578874552,-59.5,11.07925990308017,-30.0
1,0,1,6,39.58007024880639,4.354227096886958,57.013547994715566,-49.4,4.862098312457278,-30.0
1,0,1,7,41.48438797085475,6.5900956260858665,75.01354799471557,-47.3,7.328710664230097,-10.0
1,0,1,8,45.110829900448856,10.711335229505753,75.01354799471557,-43.3,11.920989891783293,-10.0
1,0,1,9,44.112312341645165,9.538784694319345,75.01354799471557,-44.4,10.613199329137302,-10.0
1,0,1,10,42.84841282661107,7.844534288001357,75.01354799471557,-45.8,8.738420909981407,-10.0
1,0,1,11,44.84445237721579,9.703878805793812,75.01354799471557,-43.6,10.818502669038782,-10.0
1,0,1,12,45.514455410572644,10.487147185438868,94.85250552318655,-42.0,17.60681686165901,100.0
1,0,1,13,46.173472541591316,11.258657293704152,94.85250552318655,-40.4,22.35710177997147,100.0
1,0,1,14,44.80311853577996,8.742147462018847,75.19788162462294,-43.7,9.76268405716379,-10.0
1,0,1,15,46.23551147004392,9.176001926805375,75.19788162462294,-42.1,10.226925246622265,-10.0
1,0,1,16,48.28054007241465,9.499497178325695,75.19788162462294,-39.8,10.581115253129049,-10.0
1,0,1,17,49.53841727638301,10.3880709343565,84.73854308107198,-38.32,11.84135127424229,8.0
1,0,1,18,50.25284644296701,10.364446238456054,84.73854308107198,-37.44,12.063432347387689,8.0
1,0,1,19,54.36194901757059,10.922972796749109,84.73854308107198,-32.68,12.983743682004802,8.0
1,0,1,20,56.63197030782574,10.468068239541138,84.73854308107198,-30.18,12.43895494002611,8.0
1,0,1,21,56.103520160024694,9.648159159840096,94.78506424239102,-30.04,16.6396634581352,100.0
1,0,1,22,57.39076018929989,10.635181321014636,94.78506424239102,-27.74,21.136991271228755,100.0
1,0,1,23,56.86684050597199,11.070019548864387,94.78506424239102,-27.44,24.66427375780602,100.0
1,0,1,24,58.75384861460773,11.007174030697122,94.78506424239102,-26.82,17.986872991156652,100.0
1,0,1,25,58.03397250229775,10.82718866939043,84.73854308107198,-28.44,13.328405756128518,8.0
1,0,1,26,59.30861727868476,10.722745868226145,84.73854308107198,-26.96,13.352093468816044,8.0
1,0,1,27,59.21758411745721,8.956267309830658,84.73854308107198,-27.46,10.623954066165762,8.0
1,0,1,28,59.93478090230815,7.71319550143709,84.73854308107198,-26.82,8.850288130902864,8.0
1,0,1,29,63.52066339988878,5.6256487744695525,84.73854308107198,-22.74,6.868216653542605,8.0
1,0,1,30,67.05609069547182,4.0571456659955025,84.73854308107198,-18.6,6.102458520956946,8.0
1,0,1,31,67.91079875944968,5.7291797883308835,94.91859563501554,-16.56,13.960171918712234,100.0
1,0,1,32,67.91762015173293,5.564449482826822,94.91859563501554,-16.64,13.769182982297826,100.0
1,0,1,33,68.7905376985889,6.893418681179869,94.91859563501554,-14.52,18.552886567863276,100.0
1,0,1,34,69.1752561100842,6.947110230583888,94.78506424239102,-14.78,15.083487660352311,100.0
1,0,1,35,68.28285021757628,5.785425336063518,84.73854308107198,-16.92,8.760913194410719,8.0
1,0,1,36,68.02198114349856,5.332601413472869,84.73854308107198,-17.38,8.04335750790678,8.0
1,0,1,37,67.0985490002963,3.7101520373001677,84.73854308107198,-18.78,5.556221737835899,8.0
1,0,1,38,66.81907921172333,2.8524954284271917,84.73854308107198,-19.24,4.135504805945711,8.0
1,0,1,39,67.10490526478493,3.9888278439298,94.85250552318655,-18.04,12.563375342637812,100.0
1,0,1,40,66.44970635444241,1.2586429619112014,75.26020708782076,-19.8,1.3999999999999975,-10.0
1,0,1,41,66.91466413211195,3.3088442080249334,94.78506424239102,-18.4,12.059850745345049,100.0
1,0,1,42,66.73553240750401,3.0934369682748533,94.85250552318655,-18.6,12.001666550941962,100.0
1,0,1,43,66.64562933879607,2.9726649767913864,94.85250552318655,-18.7,11.971215477135164,100.0
1,0,1,44,66.26990021702653,9.947598300641403e-14,66.26990021702643,-20.0,0.0,-20.0
1,0,1,45,66.26990021702653,9.947598300641403e-14,66.26990021702643,-20.0,0.0,-20.0
1,0,1,46,66.26990021702653,9.947598300641403e-14,66.26990021702643,-20.0,0.0,-20.0
1,0,1,47,66.26990021702653,9.947598300641403e-14,66.26990021702643,-20.0,0.0,-20.0
1,0,1,48,66.35967548846801,0.8932526724710884,75.24742736117437,-19.9,0.9949874371066224,-10.0
1,0,1,49,66.64550154152961,2.9722948780610494,94.85250552318655,-18.7,11.971215477135164,100.0
1,0,1,50,67.02091418118965,4.169390858802004,94.85250552318655,-17.4,16.829735589129097,100.0
1,0,1,51,66.55572627008813,2.843933319940631,94.85250552318655,-18.8,11.93984924527946,100.0
1,0,1,52,66.55572627008813,2.843933319940631,94.85250552318655,-18.8,11.93984924527946,100.0
1,0,1,53,66.84155232314974,4.001564742862423,94.85250552318655,-17.6,16.799999999999955,100.0
1,0,1,54,67.41320442927294,5.601023881556741,94.85250552318655,-15.2,23.51510153071853,100.0
1,0,1,55,67.41386533039123,5.604264545287243,94.91859563501554,-15.2,23.51510153071853,100.0
1,0,1,56,67.21803927732962,4.94548443892097,94.91859563501554,-16.3,20.477060335897878,100.0
1,0,1,57,67.69694927273383,6.220366652995212,94.85250552318655,-14.0,26.153393661244042,100.0
